#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.knownGene.alignID	hg38.kgXref.geneSymbol
ENST00000643550.1	chr6	-	151423525	151436826	151423525	151423525	5	151423525,151427481,151430137,151433154,151436419,	151423631,151427582,151430177,151433230,151436826,		uc285yze.1	RMND1
ENST00000682760.1	chr6	-	151429512	151452146	151429512	151429512	6	151429512,151430137,151433154,151436445,151445307,151452015,	151429935,151430177,151433230,151436554,151445825,151452146,		uc289egs.1	RMND1
ENST00000683740.1	chr6	-	151429782	151452146	151429782	151429782	5	151429782,151433154,151436445,151445307,151452015,	151430177,151433230,151436554,151445825,151452146,		uc289fsk.1	RMND1
ENST00000491268.2	chr6	-	151436234	151452018	151436431	151445811	3	151436234,151445307,151452015,	151436554,151445825,151452018,	Q9NWS8	uc003qoj.5	RMND1
ENST00000643564.1	chr6	-	151444969	151452074	151444969	151444969	2	151444969,151452015,	151445825,151452074,		uc285yzf.1	RMND1
ENST00000645917.1	chr6	-	151445035	151446030	151445035	151445035	1	151445035,	151446030,		uc285yzg.1	RMND1
ENST00000545879.5	chr6	+	151452257	151470097	151458537	151469110	4	151452257,151458327,151464452,151468342,	151452586,151458572,151464618,151470097,	F5GZY1	uc011ees.3	ARMT1
ENST00000367294.4	chr6	+	151452465	151470101	151452545	151469110	5	151452465,151454547,151458327,151464452,151468342,	151452586,151454653,151458572,151464618,151470101,	Q9H993	uc003qok.4	ARMT1
ENST00000494826.1	chr6	+	151452485	151468542	151452545	151458457	4	151452485,151458327,151464452,151468342,	151452586,151458572,151464618,151468542,	F2Z3I8	uc063shd.1	ARMT1
ENST00000483931.1	chr6	+	151452523	151464566	151452523	151452523	4	151452523,151454547,151458327,151464452,	151452800,151454653,151458572,151464566,		uc063she.1	ARMT1
ENST00000239374.8	chr6	+	151494016	151621193	151494128	151618147	11	151494016,151536317,151538044,151544571,151548303,151573173,151585888,151593106,151596334,151615442,151617946,	151494185,151536446,151538301,151544716,151548489,151573491,151586089,151593280,151596577,151615679,151621193,	Q8IYT3	uc003qol.5	CCDC170
ENST00000544131.1	chr6	+	151536270	151544694	151536270	151536270	3	151536270,151538044,151544571,	151536446,151538301,151544694,		uc063shf.1	CCDC170
ENST00000537358.1	chr6	+	151593027	151615520	151593027	151593027	3	151593027,151596334,151615442,	151593280,151596577,151615520,		uc063shg.1	CCDC170
ENST00000384691.1	chr6	-	151615772	151615879	151615772	151615772	1	151615772,	151615879,		uc021zgw.1	RNU6-813P
ENST00000473497.5	chr6	+	151656690	151807857	151656690	151656690	3	151656690,151701874,151807842,	151656763,151702005,151807857,		uc063shh.1	ESR1
ENST00000404742.5	chr6	+	151690495	151808166	151807912	151808166	3	151690495,151701874,151807842,	151690664,151702005,151808166,	Q5T5H8	uc063shi.1	ESR1
ENST00000440973.5	chr6	+	151690495	152103274	151807912	152098966	10	151690495,151701874,151807842,151842596,151880654,151944172,152011655,152060990,152094384,152098731,	151690664,151702005,151808364,151842787,151880771,151944508,152011794,152061124,152094568,152103274,	P03372	uc003qom.5	ESR1
ENST00000338799.9	chr6	+	151804430	152099053	151807912	152098966	9	151804430,151807842,151842596,151880654,151944172,152011655,152060990,152094384,152098731,	151805820,151808364,151842787,151880771,151944508,152011794,152061124,152094568,152099053,	P03372	uc010kin.4	ESR1
ENST00000446550.1	chr6	+	151807195	151808259	151807912	151808259	2	151807195,151807842,	151807509,151808259,	Q9UE35	uc063shj.1	ESR1
ENST00000443427.5	chr6	+	151807318	152103274	151807912	152098966	9	151807318,151807842,151842596,151880654,151944172,152011655,152060990,152094384,152098731,	151807509,151808364,151842787,151880771,151944508,152011794,152061124,152094568,152103274,	P03372	uc003qon.5	ESR1
ENST00000406599.5	chr6	+	151807678	152098978	151807912	152098966	4	151807678,152060990,152094384,152098731,	151808364,152061124,152094568,152098978,	Q9H2M1	uc010kir.4	ESR1
ENST00000456483.3	chr6	+	151807678	152098978	151807912	151880661	5	151807678,151880654,152060990,152094384,152098731,	151808364,151880771,152061124,152094568,152098978,	Q9H2M2	uc063shk.1	ESR1
ENST00000206249.8	chr6	+	151807681	152103274	151807912	152098966	8	151807681,151842596,151880654,151944172,152011655,152060990,152094384,152098731,	151808364,151842787,151880771,151944508,152011794,152061124,152094568,152103274,	P03372	uc003qoo.6	ESR1
ENST00000488573.1	chr6	+	151808104	151811278	151808104	151808104	2	151808104,151811008,	151808364,151811278,		uc063shl.1	ESR1
ENST00000427531.6	chr6	+	151809106	152129619	151842663	152125348	7	151809106,151842596,151880654,151944172,152011655,152060990,152125265,	151809271,151842787,151880771,151944508,152011794,152061124,152129619,	H0Y4W6	uc063shm.1	ESR1
ENST00000451697.1	chr6	-	151813275	151814179	151813275	151813275	2	151813275,151814125,	151813479,151814179,		uc063shn.1	ENSG00000233823
ENST00000415488.1	chr6	+	151880656	152061059	151880656	152061059	3	151880656,152011655,152060990,	151880771,152011794,152061059,	B0QYW7	uc063sho.1	ESR1
ENST00000641399.1	chr6	+	151936129	152118399	151936129	151936129	7	151936129,151944172,152011655,152060990,152094384,152098731,152118262,	151936217,151944508,152011794,152061124,152094568,152098920,152118399,		uc285yzh.1	ESR1
ENST00000482101.1	chr6	+	151944171	151984165	151944171	151944171	3	151944171,151983447,151983974,	151944508,151983560,151984165,		uc063shp.1	ESR1
ENST00000666889.1	chr6	-	152091711	152094009	152091711	152091711	2	152091711,152093388,	152091822,152094009,		uc288eau.1	ENSG00000287914
ENST00000641922.1	chr6	+	152112758	152118397	152112758	152112758	2	152112758,152118262,	152113134,152118397,		uc285yzj.1	ENSG00000284615
ENST00000478916.5	chr6	-	152121686	152147763	152121686	152121686	8	152121686,152130719,152132121,152133275,152136617,152139949,152141202,152143622,	152122676,152130778,152132214,152135232,152136818,152140161,152141329,152147763,		uc063shr.1	SYNE1
ENST00000354674.5	chr6	-	152121686	152168312	152122435	152168204	18	152121686,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152145486,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152168112,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152145555,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152168312,	F8WAI0	uc063shz.2	SYNE1
ENST00000539504.5	chr6	-	152121686	152168364	152122435	152168204	17	152121686,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152168112,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152168364,	Q5JV20	uc063shs.1	SYNE1
ENST00000367257.8	chr6	-	152121686	152218385	152122640	152218385	25	152121686,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,	152122676,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218385,	H0Y326	uc063sht.1	SYNE1
ENST00000423061.6	chr6	-	152121686	152636890	152122435	152628331	146	152121686,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152145486,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,152219002,152220841,152221425,152224493,152225720,152230546,152231390,152232115,152233780,152234667,152236106,152236816,152239532,152242239,152244536,152249160,152254879,152255590,152256633,152262031,152268055,152269154,152278088,152281806,152283977,152293587,152293959,152300640,152301868,152308488,152309830,152310395,152310687,152316848,152318080,152318862,152321237,152321720,152323477,152325083,152325957,152326295,152329729,152334007,152336840,152339240,152344080,152347058,152350617,152352026,152353262,152353588,152354724,152358372,152359314,152362169,152364846,152367217,152368971,152369470,152373036,152376380,152376775,152381005,152385673,152387071,152390279,152391276,152395515,152396774,152398618,152399615,152401137,152404212,152407013,152409067,152409558,152413351,152416386,152419568,152425380,152427692,152428204,152430111,152430481,152433794,152435940,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152628264,152636637,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152145555,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218403,152219185,152221046,152221559,152224664,152225876,152230702,152231567,152232265,152233963,152234800,152236303,152236948,152239706,152242440,152244656,152249262,152255089,152255746,152256765,152262188,152268165,152269286,152278280,152281980,152284172,152293749,152294127,152300781,152302063,152308628,152310017,152310518,152310873,152316986,152318263,152319015,152321390,152321886,152323737,152325302,152326102,152326633,152331890,152334273,152337017,152339366,152344227,152347235,152350770,152352353,152353433,152353744,152354976,152358537,152359458,152362323,152365019,152367382,152369127,152369614,152373219,152376558,152376912,152381362,152385838,152387381,152390452,152391568,152395671,152396980,152398731,152399823,152401341,152404314,152407196,152409226,152409709,152413531,152417015,152419722,152425547,152427816,152428392,152430210,152430709,152433945,152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152628554,152636890,	A0A0C4DG40	uc003qot.6	SYNE1
ENST00000367255.10	chr6	-	152121686	152637362	152122435	152628331	146	152121686,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,152219002,152220841,152221425,152224493,152225720,152230546,152231390,152232115,152233780,152234667,152236106,152236816,152239532,152242239,152244536,152249160,152254879,152255590,152256633,152262031,152268055,152269154,152278088,152281806,152283977,152293587,152293959,152300640,152301868,152308488,152309834,152310395,152310687,152316848,152318080,152318862,152321237,152321720,152323477,152325083,152325957,152326295,152329729,152334007,152336840,152339240,152344080,152347058,152350167,152350617,152352026,152353262,152353588,152354658,152358372,152359314,152362169,152364846,152367217,152368971,152369470,152373036,152376380,152376775,152381005,152385673,152387071,152390279,152391276,152395515,152396774,152398618,152399615,152401137,152404212,152407013,152409067,152409558,152413351,152416386,152419568,152425380,152427692,152428204,152430111,152430481,152433794,152435940,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,152636637,152637188,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218403,152219185,152221046,152221559,152224664,152225876,152230702,152231567,152232265,152233963,152234800,152236303,152236948,152239706,152242440,152244656,152249262,152255089,152255746,152256765,152262188,152268165,152269286,152278280,152281980,152284172,152293749,152294127,152300781,152302063,152308632,152310017,152310518,152310873,152316986,152318263,152319015,152321390,152321886,152323737,152325302,152326102,152326633,152331890,152334273,152337017,152339366,152344227,152347235,152350335,152350770,152352353,152353433,152353744,152354976,152358537,152359458,152362323,152365019,152367382,152369127,152369614,152373219,152376558,152376912,152381362,152385838,152387381,152390452,152391568,152395671,152396980,152398731,152399823,152401341,152404314,152407196,152409226,152409709,152413531,152417015,152419722,152425547,152427816,152428392,152430210,152430709,152433945,152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628554,152636805,152637362,	Q8NF91	uc003qou.5	SYNE1
ENST00000673173.1	chr6	-	152121751	152154934	152122640	152154934	11	152121751,152132121,152133275,152135103,152136617,152139949,152148044,152149476,152151552,152151958,152154891,	152122676,152132214,152133488,152135232,152136818,152140161,152148378,152149668,152151690,152152141,152154934,	A0A5F9ZHB2	uc288lyc.1	SYNE1
ENST00000672169.1	chr6	-	152121758	152152005	152122640	152152005	13	152121758,152132121,152133275,152135103,152136272,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,	152122676,152132214,152133488,152135232,152136314,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152005,	A0A5F9ZHE1	uc288lji.1	SYNE1
ENST00000367251.7	chr6	-	152121768	152225837	152122640	152225837	31	152121768,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152145486,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,152219002,152220841,152221425,152224493,152225720,	152122676,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152145555,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218403,152219185,152221046,152221559,152224664,152225837,	H0Y325	uc063shu.1	SYNE1
ENST00000460912.6	chr6	-	152121779	152168280	152121779	152121779	18	152121779,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152145486,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152168108,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152145555,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152168280,		uc063shv.1	SYNE1
ENST00000347037.9	chr6	-	152121779	152179463	152121779	152121779	19	152121779,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152145486,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152179324,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152145555,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152179463,		uc063shw.1	SYNE1
ENST00000409694.6	chr6	-	152121779	152311167	152121779	152121779	59	152121779,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,152219002,152220841,152221425,152224493,152225720,152230546,152231390,152232115,152233780,152234667,152236106,152236816,152239532,152242239,152244536,152249160,152254879,152255590,152256633,152262031,152268055,152269154,152278088,152281806,152283977,152293587,152293959,152300640,152301868,152308488,152309834,152310395,152310687,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218403,152219185,152221046,152221559,152224664,152225876,152230702,152231567,152232265,152233963,152234800,152236303,152236948,152239706,152242440,152244656,152249262,152255089,152255746,152256765,152262188,152268165,152269286,152278280,152281980,152284172,152293749,152294127,152300781,152302063,152308632,152310017,152310518,152311167,		uc063shx.1	SYNE1
ENST00000367256.9	chr6	-	152121779	152318344	152121779	152121779	61	152121779,152130719,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152189251,152201823,152206167,152207971,152211493,152213611,152214905,152218256,152219002,152220841,152221425,152224493,152225720,152230546,152231390,152232115,152233780,152234667,152236106,152236816,152239532,152242239,152244536,152249160,152254879,152255590,152256633,152262031,152268055,152269154,152278088,152281806,152283977,152293587,152293959,152300640,152301868,152308488,152309834,152310395,152310687,152316848,152318080,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152189407,152201949,152206362,152208206,152211588,152213759,152215060,152218403,152219185,152221046,152221559,152224664,152225876,152230702,152231567,152232265,152233963,152234800,152236303,152236948,152239706,152242440,152244656,152249262,152255089,152255746,152256765,152262188,152268165,152269286,152278280,152281980,152284172,152293749,152294127,152300781,152302063,152308632,152310017,152310518,152310873,152316986,152318344,		uc063shy.1	SYNE1
ENST00000672154.1	chr6	-	152121822	152149634	152122640	152149634	10	152121822,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,	152122676,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148264,152149634,	A0A5F9ZH86	uc288ljb.1	SYNE1
ENST00000673451.1	chr6	-	152121828	152152042	152135034	152152042	13	152121828,152130719,152132121,152133275,152135025,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,	152122676,152130778,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152042,	A0A5F9ZH87	uc288mce.1	SYNE1
ENST00000536990.5	chr6	-	152122604	152185411	152122640	152180201	18	152122604,152132121,152133275,152135103,152136617,152139949,152141202,152143622,152148044,152149476,152151552,152151958,152154891,152155909,152164162,152176393,152180135,152185273,	152122676,152132214,152133488,152135232,152136818,152140161,152141329,152143765,152148378,152149668,152151690,152152141,152155042,152156097,152164325,152176560,152180294,152185411,	B7Z9Y6	uc063sia.1	SYNE1
ENST00000472563.2	chr6	-	152147883	152149506	152147883	152147883	2	152147883,152149476,	152148378,152149506,		uc063sib.1	SYNE1
ENST00000476519.1	chr6	-	152149598	152155426	152149598	152149598	5	152149598,152151552,152151958,152154891,152155386,	152149668,152151690,152152141,152155042,152155426,		uc063sic.1	SYNE1
ENST00000490866.2	chr6	-	152152064	152155395	152152064	152152064	2	152152064,152154891,	152152141,152155395,		uc063sid.1	SYNE1
ENST00000545694.1	chr6	-	152255625	152268171	152255625	152255625	4	152255625,152256633,152262031,152268055,	152255746,152256765,152262188,152268171,		uc063sie.1	SYNE1
ENST00000489156.1	chr6	-	152277501	152302269	152277501	152277501	6	152277501,152281806,152283977,152293587,152293959,152301868,	152278280,152281980,152284184,152293749,152294127,152302269,		uc010kiy.2	SYNE1
ENST00000488376.2	chr6	-	152278102	152282042	152278102	152278102	2	152278102,152281806,	152278280,152282042,		uc063sif.1	SYNE1
ENST00000540663.5	chr6	-	152283981	152302123	152283981	152302075	4	152283981,152293587,152293959,152301868,	152284172,152293749,152294127,152302123,	F5H6R8	uc063sig.1	SYNE1
ENST00000537033.1	chr6	-	152293679	152302136	152293679	152302075	4	152293679,152293959,152300640,152301868,	152293749,152294127,152300781,152302136,	F5GZ83	uc063sih.1	SYNE1
ENST00000682252.1	chr6	-	152309567	152321544	152309567	152309567	7	152309567,152310395,152310687,152316848,152318080,152318862,152321237,	152310017,152310518,152310873,152316986,152318263,152319015,152321544,		uc289dne.1	SYNE1
ENST00000684208.1	chr6	-	152309567	152321544	152309567	152309567	7	152309567,152310395,152310687,152316848,152318080,152318862,152321237,	152310017,152310518,152310873,152316986,152318263,152319015,152321544,		uc289gkk.1	SYNE1
ENST00000684643.1	chr6	-	152309567	152321963	152309567	152309567	8	152309567,152310395,152310687,152316848,152318080,152318862,152321237,152321720,	152310017,152310518,152310873,152316986,152318263,152319015,152321390,152321963,		uc289hbd.1	SYNE1
ENST00000490135.6	chr6	-	152315197	152334147	152315197	152315197	11	152315197,152318080,152318862,152321237,152321720,152323477,152325083,152325957,152326295,152329729,152334007,	152316986,152318263,152319015,152321390,152321886,152323737,152325302,152326102,152326633,152331890,152334147,		uc063sii.1	SYNE1
ENST00000682179.1	chr6	-	152316761	152321544	152316761	152316761	4	152316761,152318080,152318862,152321237,	152316986,152318263,152319015,152321544,		uc289dkj.1	SYNE1
ENST00000448038.3	chr6	-	152316761	152321963	152316761	152316761	6	152316761,152318080,152318862,152319898,152321237,152321720,	152316986,152318263,152319015,152320216,152321390,152321963,		uc063sij.2	SYNE1
ENST00000471834.1	chr6	-	152335277	152381220	152335277	152335277	19	152335277,152339240,152344080,152347058,152350167,152350617,152352026,152353262,152353588,152354658,152358372,152359314,152362169,152364846,152367217,152373036,152376380,152376775,152381005,	152337017,152339366,152344227,152347235,152350335,152350770,152352353,152353433,152353744,152354976,152358537,152359458,152362323,152365019,152369614,152373219,152376558,152376912,152381220,		uc063sik.1	SYNE1
ENST00000454018.7	chr6	-	152366991	152385676	152367004	152385676	8	152366991,152368971,152369470,152373036,152376380,152376775,152381005,152385673,	152367382,152369127,152369614,152373219,152376558,152376912,152381362,152385676,	A0A0C4DH48	uc003qov.5	SYNE1
ENST00000469439.1	chr6	-	152366996	152373136	152367004	152373136	3	152366996,152369470,152373036,	152367382,152369614,152373136,	H0YGD3	uc063sil.1	SYNE1
ENST00000461872.6	chr6	-	152376064	152636683	152376064	152376064	55	152376064,152381005,152385673,152387071,152390279,152391276,152395515,152396774,152398618,152399615,152401137,152404212,152407013,152409067,152409558,152413351,152416386,152419568,152425380,152427692,152428204,152430111,152430481,152433794,152435940,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,152636637,	152376912,152381362,152385838,152387381,152390452,152391568,152395671,152396980,152398731,152399823,152401341,152404314,152407196,152409226,152409709,152413531,152417015,152419722,152425547,152427816,152428392,152430210,152430709,152433945,152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628554,152636683,		uc063sim.1	SYNE1
ENST00000412161.1	chr6	+	152380545	152381564	152380545	152380545	2	152380545,152381059,	152380593,152381564,		uc063sin.1	SYNE1-AS1
ENST00000535081.1	chr6	-	152401302	152409304	152401302	152401302	4	152401302,152404212,152407013,152409067,	152401341,152404314,152407196,152409304,		uc063sio.1	SYNE1
ENST00000458194.1	chr6	+	152402397	152404966	152402397	152402397	2	152402397,152404851,	152402667,152404966,		uc063sip.1	ENSG00000226193
ENST00000365174.1	chr6	+	152410274	152410394	152410274	152410274	1	152410274,	152410394,		uc063siq.1	RNA5SP223
ENST00000367253.8	chr6	-	152427603	152628331	152427614	152628331	36	152427603,152428204,152430111,152430481,152433794,152435940,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,	152427816,152428392,152430210,152430709,152433945,152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628331,	Q8NF91	uc003qow.4	SYNE1
ENST00000673281.1	chr6	-	152430579	152563355	152430579	152563170	34	152430579,152433794,152435940,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152563130,	152430709,152433945,152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152563355,	A0A5F9ZI52	uc288lzp.1	SYNE1
ENST00000367248.7	chr6	-	152433524	152636883	152435918	152628331	32	152433524,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152628264,152636637,	152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152628554,152636883,	F5GXQ8	uc003qox.2	SYNE1
ENST00000672122.1	chr6	-	152433652	152563289	152435918	152563170	31	152433652,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152563130,	152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152563289,	A0A5F9ZHR3	uc288lin.1	SYNE1
ENST00000671915.1	chr6	-	152433768	152458780	152435918	152458780	11	152433768,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152458756,	152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152458780,	A0A5F9ZHI3	uc288lfh.1	SYNE1
ENST00000673163.1	chr6	-	152435303	152636914	152542196	152628331	33	152435303,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152542159,152628264,152636637,	152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152542240,152628554,152636914,	A0A5F9ZH00	uc288lxx.1	SYNE1
ENST00000413186.6	chr6	-	152435390	152628331	152435918	152628331	31	152435390,152441129,152442074,152444410,152447457,152449532,152450624,152451046,152453585,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,	152436101,152441270,152442245,152444578,152447622,152449641,152450833,152451205,152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628331,	Q8NF91	uc063sir.1	SYNE1
ENST00000495090.6	chr6	-	152453415	152472630	152453474	152472621	12	152453415,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152472570,	152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471765,152472413,152472630,	F5H422	uc003qoy.3	SYNE1
ENST00000474655.6	chr6	-	152453416	152472617	152471642	152472617	12	152453416,152455425,152455885,152458756,152461596,152462737,152463352,152465257,152465981,152471596,152472300,152472570,	152453720,152455590,152456044,152458930,152461740,152462890,152463517,152465460,152466078,152471670,152472413,152472617,	H0YFT4	uc063sis.1	SYNE1
ENST00000498751.1	chr6	-	152461615	152464932	152461615	152461615	4	152461615,152462737,152463352,152464797,	152461740,152462890,152463517,152464932,		uc063siu.1	SYNE1
ENST00000535896.7	chr6	-	152462286	152563277	152462722	152563170	19	152462286,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152563130,	152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152563277,	A0A5F9ZHD7	uc063sit.2	SYNE1
